info,mask
7881,0000000000000000000000000000000000000000000000000000000010000000000000011000000000000011110000000000001111000000000000111000000000000111100000000000011100000000000011100000000000001100000000000000000000000000000000000000000000000000000000000000000000000000
11535,0000000000000000000000000000000000000000000000000000000000000000000000111000000000000011000000000000011100000000000001110000000000000111000000000000011100000000000001100000000000000110000000000000000000000000000000000000000000000000000000000000000000000000
6757,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000011110000000000111111000000001111111000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
182,0000000000000000000000000000000000000000000000000000000001110000000000000111000000000000111000000000000011100000000000001110000000000001111000000000001111100000001111111110000000000011110000000000000111000000000000000000000000000000000000000000000000000000
877,0000000000000000000000000000000000000011110000000000001111000000000000011100000000000001111000000000000111100000000000001111000000000000111100000000000001110000000000000011100000000000000110000000000000001100000000000000010000000000000000000000000000000000
5328,0000000000000000000000000000000000000000000000000011100000000010011111110000111001111111111111100111111111111110011111111111111001111111111100000011111111000000000111111000000000001111000000000000000000000000000000000000000000000000000000000000000000000000
8991,0000000000000000000000000000000000000000000000000000000000000000000000001100000000000011111110000000011111111000000011111111110000001111111111000000111111110000000111111100000000110011000000000110000000000000000000000000000000000000000000000000000000000000
3441,0000000000000000000000000000000000000000000000000000000000000000000110000000000000011110000000000011111100000000001111111000000000001111111000000000111111100000000001111111000000000010111110000000001010000000000001101000000000000000000000000000000000000000
1511,0000000000000000000000000000000000000000000000000000000000000000000000110000000000000011000000000000011100000000000011110000000000111111000000000011111100000000000011100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000
7519,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000111000000000000111100000000000111110000000011111111000000000001111100000000000011100000000000000100000000000000000000000000000000000000000000000000000000
666,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000111100000000000111100000000000011110000000000001110000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10816,0000000000000000000000000000000000000000000000000000000011000000000000011100000000000111100000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10807,0000000000000000000000000000000000000000000000000000001111110000000000111111000000000001111100000000000111110000000000011111000000000000111000000000000011100000000000001000000000000000110000000000000000000000000000000000000000000000000000000000000000000000
41,0000000000000000000000001000000000000001110000000000000111000000000000111000000000000011100000000011111111100000000011111111000000000011000000000000001100000000000000110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000
1095,0000000000000000000000000000000000000001110000000000000111100000000000011111000000000011111100000000011111110000000011111110000000001111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
